evaluations raw_y
463 0.0000002356
527 0.0000001308
568 0.0000000298
634 0.0000000001
1381 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.3795583357
8 1.2827802250
13 0.7928874871
34 0.2429514321
43 0.1097095052
56 0.1064591312
65 0.1057648191
82 0.0408339924
194 0.0266524952
228 0.0110862747
283 0.0084143113
312 0.0068088093
326 0.0030340486
352 0.0006830475
479 0.0006009017
490 0.0002234612
565 0.0000469295
593 0.0000179160
632 0.0000113691
736 0.0000093630
773 0.0000088310
799 0.0000039984
851 0.0000019636
888 0.0000003613
930 0.0000000359
1175 0.0000000281
1207 0.0000000173
1278 0.0000000095
1295 0.0000000078
1307 0.0000000036
1360 0.0000000014
1371 0.0000000012
1448 0.0000000006
1463 0.0000000002
1586 0.0000000001
8000 0.0000000000
evaluations raw_y
1 5.3885374525
3 3.9340332733
10 2.3755223345
19 2.1984904648
25 2.0890839638
36 0.4800076291
85 0.4223670670
86 0.2211041180
95 0.0915745994
283 0.0604603158
364 0.0147807593
498 0.0025459006
663 0.0024436349
685 0.0008893404
756 0.0006059507
763 0.0004887892
772 0.0004884850
778 0.0003739840
794 0.0000627114
891 0.0000501489
909 0.0000439676
953 0.0000083788
1088 0.0000003022
1259 0.0000002074
1289 0.0000001672
1354 0.0000000466
1398 0.0000000081
1423 0.0000000020
1444 0.0000000006
1541 0.0000000004
1610 0.0000000002
1676 0.0000000001
1893 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.1576448816
108 0.0465399532
109 0.0294917002
118 0.0060719568
206 0.0013300704
395 0.0011427078
402 0.0011259794
433 0.0004059352
448 0.0000638677
472 0.0000599162
543 0.0000379331
597 0.0000104031
681 0.0000069764
738 0.0000064828
784 0.0000053195
798 0.0000046198
799 0.0000013414
843 0.0000010757
851 0.0000009923
859 0.0000009536
896 0.0000006505
916 0.0000003117
918 0.0000002768
967 0.0000001531
975 0.0000001264
1003 0.0000001075
1006 0.0000000573
1018 0.0000000469
1040 0.0000000396
1047 0.0000000357
1075 0.0000000085
1113 0.0000000079
1125 0.0000000043
1235 0.0000000027
1271 0.0000000016
1352 0.0000000013
1398 0.0000000011
1472 0.0000000009
1492 0.0000000007
1560 0.0000000002
1776 0.0000000001
8000 0.0000000000
evaluations raw_y
1 16.4890662463
2 14.2840512702
3 13.4558678121
4 3.1415376128
9 0.4261230895
120 0.2374522345
148 0.1925168601
151 0.1491866036
192 0.0627201458
196 0.0492585983
227 0.0145871851
320 0.0060122356
326 0.0021288129
370 0.0008086876
482 0.0003525797
523 0.0002781421
538 0.0002551352
555 0.0001243238
567 0.0000988201
601 0.0000719786
672 0.0000019100
822 0.0000011913
861 0.0000010732
894 0.0000010032
900 0.0000002261
958 0.0000001458
975 0.0000001376
976 0.0000000985
1006 0.0000000883
1008 0.0000000165
1062 0.0000000136
1079 0.0000000110
1083 0.0000000061
1106 0.0000000053
1125 0.0000000008
1204 0.0000000005
1225 0.0000000004
1232 0.0000000002
1257 0.0000000001
8000 0.0000000000
evaluations raw_y
1 56.2785120705
3 39.1640696619
4 37.8809246504
5 29.0630106822
6 21.6294362366
7 16.7692913823
14 2.2113137565
90 1.6915585341
102 0.6634453436
151 0.5330821768
185 0.4452969837
